ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes
2048,2048,74.25,128,11.94,52184460
4096,2048,70.58,128,10.16,80373132
6144,2048,70.59,128,10.10,108561804
8192,2048,70.64,128,9.99,136750476
10240,2048,70.03,128,9.95,164939148
12288,2048,69.90,128,9.92,193127820
14336,2048,70.33,128,9.86,221316492
16384,2048,69.98,128,9.84,249505164
18432,2048,70.04,128,9.79,277693836
20480,2048,69.44,128,9.73,305882508
22528,2048,69.65,128,9.69,334071180
24576,2048,69.59,128,9.64,362259852
26624,2048,69.46,128,9.60,390448524
28672,2048,69.51,128,9.55,418637196
30720,2048,68.83,128,9.48,446825868
32768,2048,69.07,128,9.36,475014540
34816,2048,68.52,128,9.23,503203212
36864,2048,67.76,128,9.18,531391884
38912,2048,67.80,128,9.15,559580556
40960,2048,67.62,128,9.10,587769228
43008,2048,67.40,128,9.07,615957900
45056,2048,67.35,128,9.03,644146572
47104,2048,67.59,128,8.99,672335244
49152,2048,66.98,128,8.95,700523916
51200,2048,66.90,128,8.91,728712588
53248,2048,66.82,128,8.88,756901260
55296,2048,66.80,128,8.84,785089932
57344,2048,66.84,128,8.81,813278604
59392,2048,66.85,128,8.76,841467276
61440,2048,66.31,128,8.73,869655948
63488,2048,66.33,128,8.69,897844620
65536,2048,66.28,128,8.65,926033292
