ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes
2048,2048,72.87,128,11.83,52184460
4096,2048,69.41,128,10.05,80373132
6144,2048,69.13,128,9.99,108561804
8192,2048,69.04,128,9.88,136750476
10240,2048,68.79,128,9.84,164939148
12288,2048,68.69,128,9.81,193127820
14336,2048,68.59,128,9.75,221316492
16384,2048,68.47,128,9.74,249505164
18432,2048,68.40,128,9.70,277693836
20480,2048,68.25,128,9.65,305882508
22528,2048,68.14,128,9.60,334071180
24576,2048,68.01,128,9.56,362259852
26624,2048,67.88,128,9.53,390448524
28672,2048,67.75,128,9.48,418637196
30720,2048,67.67,128,9.44,446825868
32768,2048,67.54,128,9.32,475014540
34816,2048,66.59,128,9.19,503203212
36864,2048,66.86,128,9.15,531391884
38912,2048,66.78,128,9.11,559580556
40960,2048,66.64,128,9.07,587769228
43008,2048,66.57,128,9.04,615957900
45056,2048,66.40,128,9.01,644146572
47104,2048,66.30,128,8.97,672335244
49152,2048,66.26,128,8.94,700523916
51200,2048,66.04,128,8.90,728712588
53248,2048,65.86,128,8.86,756901260
55296,2048,65.81,128,8.82,785089932
57344,2048,65.69,128,8.79,813278604
59392,2048,65.61,128,8.75,841467276
61440,2048,65.11,128,8.73,869655948
63488,2048,65.41,128,8.69,897844620
65536,2048,65.29,128,8.65,926033292
